Code,_StartTime,_EndTime,StartTime,EndTime,Type,Change
KA15,Oct 2007,Dec 2018,"£199,975","£220,000",4 Bedrooms,+10%
KA17,Oct 2007,Dec 2018,"£134,950","£108,750",3 Bedrooms,-19%
KA17,Oct 2007,Dec 2018,"£49,900","£26,000",1 Bedroom,-48%
KA17,Oct 2007,Dec 2018,"£134,950","£64,000",All,-53%
KA17,Oct 2007,Dec 2018,-,"£41,498",2 Bedrooms,-
KA17,Oct 2007,Dec 2018,-,"£325,000",5+ Bedrooms,-
KA17,Oct 2007,Dec 2018,"£200,000","£179,995",4 Bedrooms,-10%
KA18,Oct 2007,Dec 2018,"£149,950","£97,000",3 Bedrooms,-35%
KA18,Oct 2007,Dec 2018,"£44,498","£33,500",1 Bedroom,-25%
KA18,Oct 2007,Dec 2018,"£145,900","£76,500",All,-48%
KA18,Oct 2007,Dec 2018,"£92,500","£52,000",2 Bedrooms,-44%
KA18,Oct 2007,Dec 2018,-,"£275,000",5+ Bedrooms,-
KA18,Oct 2007,Dec 2018,"£187,500","£190,000",4 Bedrooms,+1%
KA19,Oct 2007,Dec 2018,"£149,250","£125,998",3 Bedrooms,-16%
KA19,Oct 2007,Dec 2018,"£48,500","£24,998",1 Bedroom,-48%
KA19,Oct 2007,Dec 2018,"£187,500","£130,000",All,-31%
KA19,Oct 2007,Dec 2018,"£88,000","£75,750",2 Bedrooms,-14%
KA19,Oct 2007,Dec 2018,"£377,500","£1,250,000",5+ Bedrooms,+231%
KA19,Oct 2007,Dec 2018,"£295,000","£182,500",4 Bedrooms,-38%
KA16,Oct 2007,Dec 2018,"£137,495","£95,000",3 Bedrooms,-31%
KA16,Oct 2007,Dec 2018,"£32,995","£22,500",1 Bedroom,-32%
KA16,Oct 2007,Dec 2018,"£98,500","£45,000",All,-54%
KA16,Oct 2007,Dec 2018,"£98,500","£41,498",2 Bedrooms,-58%
KA16,Oct 2007,Dec 2018,"£48,000","£179,995",5+ Bedrooms,+275%
KA16,Oct 2007,Dec 2018,"£207,498",-,4 Bedrooms,-
KA2,Oct 2007,Dec 2018,"£155,000","£101,250",3 Bedrooms,-35%
KA2,Oct 2007,Dec 2018,-,"£42,995",1 Bedroom,-
KA2,Oct 2007,Dec 2018,"£205,000","£120,000",All,-41%
KA2,Oct 2007,Dec 2018,"£110,500","£97,500",2 Bedrooms,-12%
KA2,Oct 2007,Dec 2018,"£257,500","£279,995",5+ Bedrooms,+9%
KA2,Oct 2007,Dec 2018,"£210,000","£210,000",4 Bedrooms,0%
KA23,Oct 2007,Dec 2018,"£310,000","£191,998",3 Bedrooms,-38%
KA23,Oct 2007,Dec 2018,"£83,998",-,1 Bedroom,-
KA23,Oct 2007,Dec 2018,"£144,500","£219,500",All,+52%
KA23,Oct 2007,Dec 2018,"£89,995","£85,000",2 Bedrooms,-6%
KA23,Oct 2007,Dec 2018,-,"£435,000",5+ Bedrooms,-
KA23,Oct 2007,Dec 2018,"£332,500","£267,500",4 Bedrooms,-20%
KA22,Oct 2007,Dec 2018,"£130,000","£91,000",3 Bedrooms,-30%
KA22,Oct 2007,Dec 2018,"£46,000","£49,000",1 Bedroom,+7%
